code,expected,built_system
greeting= input('Greeting: ').lower().strip() if 'hello' in greeting: print('$0') elif 'h' in greeting[0]: print('$20') else: print('$100'),1,False
message = input('Please provide a greeting: ').lower().strip() if 'hello' in message: print('$0') elif message.startswith('h'): print('$20') else: print('$100'),0,True
"import requests from sys import argv, exit # get response try: response = requests.get('https://api.coindesk.com/v1/bpi/currentprice.json') except requests.RequestException: exit() # get price of bitcoin res = response.json() price = res['bpi']['USD']['rate'].replace(',','') price = float(price) # check and get argument if len(argv) != 2: exit('Missing command-line argument') else: try: number = float(argv[1]) except: exit('Command-line argument is not a number') # calculate price total = number * price print(f'${total:,.4f}')",1,True
"import requests import sys # fetch data try: data = requests.get('https://api.coindesk.com/v1/bpi/currentprice.json') except requests.RequestException: sys.exit() # extract bitcoin price bitcoin_data = data.json() bitcoin_price = bitcoin_data['bpi']['USD']['rate'].replace(',', '') bitcoin_price = float(bitcoin_price) # validate command-line argument if len(sys.argv) != 2: sys.exit('Expected a single argument') else: try: quantity = float(sys.argv[1]) except ValueError: sys.exit('Argument must be a valid number') # compute total price total_amount = quantity * bitcoin_price print(f'${total_amount:,.4f}')",0,True
"import random def main(): level = get_level() score = 0 for _ in range(10): x = generate_integer(level) y = generate_integer(level) ans = str(x+y) res = 0 for i in range(4): if i == 3: print(x, '+', y, '=', ans) break print(x, '+', y, '=', end=' ') res = input() if res!=ans: print('EEE') else: score+=1 break print('Score: ', score) def get_level(): while True: try: level = input('Level: ') if level.isnumeric(): level = int(level) else: raise Exception if 0 < level and level < 4: return level else: raise Exception except: pass def generate_integer(level): if level == 1: return random.randint(0,9) elif level == 2: return random.randint(10,99) else: return random.randint(100,999) if __name__ == '__main__': main()",1,True
"import random def start_quiz(): difficulty = select_level() user_score = 0 for _ in range(10): num1 = generate_number(difficulty) num2 = generate_number(difficulty) correct_answer = str(num1 + num2) user_input = 0 for attempt in range(4): if attempt == 3: print(f'{num1} + {num2} = {correct_answer}') break print(f'{num1} + {num2} = ', end='') user_input = input() if user_input != correct_answer: print('Incorrect!') else: user_score += 1 break print(f'Your final score: {user_score}') def select_level(): while True: try: difficulty = input('Please choose a difficulty (1-3): ') if difficulty.isdigit(): difficulty = int(difficulty) else: raise ValueError if 0 < difficulty < 4: return difficulty else: raise ValueError except ValueError: pass def generate_number(difficulty): if difficulty == 1: return random.randint(0, 9) elif difficulty == 2: return random.randint(10, 99) else: return random.randint(100, 999) if __name__ == '__main__': start_quiz()",0,False
"from sys import argv, exit from tabulate import tabulate import csv def main(): filename = get_filename(argv) check_csv(filename) try: with open(filename, 'r') as file: reader = csv.reader(file) table = [] headers = list(next(reader)) for row in reader: table.append([row[0], row[1], row[2]]) # Move print statement outside the loop print(tabulate(table, headers, tablefmt='grid')) except FileNotFoundError: exit('File does not exist') except Exception as arg: exit(arg) def get_filename(arguments): if len(arguments) != 2: if len(arguments) < 2: exit('Too few command-line arguments') else: exit('Too many command-line arguments') return arguments[1] def check_csv(filename): dot = filename.find('.') if filename[dot:] != '.csv': exit('Not a CSV file') if __name__ == '__main__': main()",1,True
"import csv import sys from tabulate import tabulate def start_program(): file_path = validate_arguments(sys.argv) verify_csv(file_path) try: with open(file_path, 'r') as file: csv_reader = csv.reader(file) data = [] column_headers = list(next(csv_reader)) for row in csv_reader: data.append([row[0], row[1], row[2]]) # Print the table after processing the entire file print(tabulate(data, column_headers, tablefmt='grid')) except FileNotFoundError: sys.exit('Error: File not found') except Exception as error: sys.exit(f'An error occurred: {error}') def validate_arguments(args): if len(args) != 2: if len(args) < 2: sys.exit('Error: Too few arguments provided') else: sys.exit('Error: Too many arguments provided') return args[1] def verify_csv(file_name): if not file_name.endswith('.csv'): sys.exit('Error: File must have a .csv extension') if __name__ == '__main__': start_program()",0,True
"from datetime import date import inflect import sys import re def main(): inpt=input('Date of Birth: ') print(get_min(inpt)) def get_min(inpt): # gets dates from input using regex if search := re.search(r'^(\d{4})-(\d{2})-(\d{2})$',inpt): inpt=list(search.groups()) else: sys.exit('Invalid date') # converts str into int and checks valid date inpt_bday = convert_and_check(inpt) # today's date today = date.today() # bday bday = date(inpt_bday[0], inpt_bday[1], inpt_bday[2]) # computes no of days diff = bday - today no_of_days = -int(diff.days) # computes days into minutes minutes = no_of_days * 24 * 60 # converts into words inf = inflect.engine() min_words = inf.number_to_words(minutes) # remove 'and' and capitalize min_words = min_words.replace(' and','').capitalize() # return return min_words + ' minutes' def convert_and_check(day): # convert str to int day = list(map(int, day)) # check valid date and month if day[1] < 0 or day[1] > 12: sys.exit('Invalid date') elif day[2] < 0 or day[2] > 31: sys.exit('Invalid date') return day if __name__ == '__main__': main()",1,True
"import sys import re from datetime import date import inflect def start_program(): dob = input('Enter your Date of Birth (YYYY-MM-DD): ') print(calculate_age_in_minutes(dob)) def calculate_age_in_minutes(birthdate): # Match the input date format using regex if match := re.match(r'^(\d{4})-(\d{2})-(\d{2})$', birthdate): date_parts = list(match.groups()) else: sys.exit('Error: Invalid date format') # Convert the date and validate it birth_date = validate_and_convert(date_parts) # Get the current date today = date.today() # Create a date ob",0,True
"#include #include #include #include #include int main(int argc, string argv[]) { bool key = true; //checks if all characters in the second argument are digits if (argc >= 2) { for (int i = 0, n = strlen(argv[1]); i < n; i++) { if (!isdigit(argv[1][i])) { key = false; } } } //if there are two main arguments, and a key for just digits if (argc == 2 && key == true) { //if k is > 26, store the division remainder instead int keyc = atoi(argv[1]) % 26; string plaintext = get_string('plaintext: '); printf('ciphertext: '); for (int i = 0, n = strlen(plaintext); i < n; i++) { //stores the integer equivalent to the sum int cipheri = (plaintext[i] + keyc); char cipher = plaintext[i] + keyc; //if it exceeds the last letter, it decreases 26 to be the corresponding if (islower(plaintext[i])) { if (cipheri > 'z') { printf('%c', cipher - 26); } else { printf('%c', cipher); } } else if (isupper(plaintext[i])) { if (cipheri > 'Z') { printf('%c', cipher - 26); } else { printf('%c', cipher); } } else { //if it is not alphabetic, print the way it is printf('%c', plaintext[i]); } } printf('\n'); return 0; } else { printf('Usage: ./caesar key\n'); return 1; } }",1,True
"#include #include #include #include #include int main(int argc, string argv[]) { bool is_digit_key = true; // Check if the second argument contains only digits if (argc == 2) { for (int i = 0, len = strlen(argv[1]); i < len; i++) { if (!isdigit(argv[1][i])) { is_digit_key = false; } } } // Proceed if there is exactly one argument and it contains only digits if (argc == 2 && is_digit_key) { int shift_value = atoi(argv[1]) % 26; // Get the effective shift within 26 string message = get_string('Enter text: '); // User input message printf('Encrypted text: '); // Loop through each character in the plaintext for (int i = 0, len = strlen(message); i < len; i++) { char current_char = message[i]; // Encrypt lowercase characters if (islower(current_char)) { char shifted_char = current_char + shift_value; // Wrap around if it goes past 'z' if (shifted_char > 'z') { printf('%c', shifted_char - 26); } else { printf('%c', shifted_char); } } // Encrypt uppercase characters else if (isupper(current_char)) { char shifted_char = current_char + shift_value; // Wrap around if it goes past 'Z' if (shifted_char > 'Z') { printf('%c', shifted_char - 26); } else { printf('%c', shifted_char); } } else { // Non-alphabetic characters remain unchanged printf('%c', current_char); } } printf('\n'); return 0; } else { // Invalid argument count or key format printf('Usage: ./caesar key\n'); return 1; } }",0,True
